Day,Sold Units,Restocked Units,Available Units
0,0,0,2000
1,99,0,1901
2,164,0,1737
3,133,0,1604
4,39,0,1565
5,87,0,1478
6,69,0,1409
7,0,591,2000
8,133,0,1867
9,13,0,1854
10,147,0,1707
11,1,0,1706
12,12,0,1694
13,54,0,1640
14,0,360,2000
15,199,0,1801
16,3,0,1798
17,152,0,1646
18,145,0,1501
19,154,0,1347
20,102,0,1245
21,0,755,2000
22,79,0,1921
23,44,0,1877
24,62,0,1815
25,86,0,1729
26,83,0,1646
27,14,0,1632
28,0,368,2000
29,21,0,1979
30,141,0,1838
31,121,0,1717
32,34,0,1683
33,149,0,1534
34,34,0,1500
35,0,500,2000
36,26,0,1974
37,41,0,1933
38,197,0,1736
39,133,0,1603
40,196,0,1407
41,56,0,1351
42,0,649,2000
43,42,0,1958
44,136,0,1822
45,13,0,1809
46,15,0,1794
47,15,0,1779
48,32,0,1747
49,0,253,2000
